Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
D?,"DWMAPI.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
E,"c:\windows\system32\SHLWAPI.DLL",2007-10-11 00:13:46,2007-10-11 01:13:45,474112,A,0x00076DDC,0x00076DDC,x86,GUI,"CV",0x77F60000,Unknown,0x00076000,Not Loaded,6.0.2900.3231,6.0.2900.3231,5.1,7.10,5.1,4.0
DE,"c:\windows\system32\MPR.DLL",2004-08-04 12:00:00,2004-08-04 02:56:46,59904,A,0x00018245,0x00018245,x86,Console,"CV",0x71B20000,Unknown,0x00012000,Not Loaded,5.1.2600.2180,5.1.2600.2180,5.1,7.10,5.1,4.0
,"c:\ruby-1.8.7-p72\bin\MSVCRT-RUBY18.DLL",2008-08-12 09:10:24,2008-08-11 19:10:23,925765,A,0x00000000,0x000E904C,x86,Console,"PDB",0x10000000,Unknown,0x000F6000,Not Loaded,1.8.7.72,1.8.7.72,0.0,6.0,4.0,4.0
,"c:\ruby-1.8.7-p72\lib\ruby\gems\1.8\gems\sqlite3-ruby-1.2.3-x86-mswin32\lib\SQLITE3_API.DLL",2009-02-26 21:56:16,2008-08-26 21:50:45,99840,A,0x00000000,0x0001E335,x86,GUI,"None",0x10000000,Unknown,0x0001C000,Not Loaded,N/A,N/A,0.0,9.0,5.0,5.0
,"c:\windows\system32\ADVAPI32.DLL",2009-02-09 05:20:34,2009-02-09 05:20:33,616960,A,0x0009BE9E,0x0009BE9E,x86,Console,"CV",0x77DD0000,Unknown,0x0009B000,Not Loaded,5.1.2600.3520,5.1.2600.3520,5.1,7.10,5.1,4.0
,"c:\windows\system32\GDI32.DLL",2008-10-23 07:01:36,2008-10-23 08:01:36,283648,A,0x0004C8E2,0x0004C8E2,x86,Console,"CV",0x77F10000,Unknown,0x00048000,Not Loaded,5.1.2600.3466,5.1.2600.3466,5.1,7.10,5.1,4.10
,"c:\windows\system32\KERNEL32.DLL",2009-03-21 09:18:58,2009-03-21 09:18:57,986112,A,0x000FEAFF,0x000FEAFF,x86,Console,"CV",0x7C800000,Unknown,0x000F5000,Not Loaded,5.1.2600.3541,5.1.2600.3541,5.1,7.10,5.1,4.0
,"c:\windows\system32\MSVCRT.DLL",2004-08-04 12:00:00,2004-08-04 02:59:14,343040,A,0x00057CD3,0x00057CD3,x86,GUI,"CV",0x77C10000,Unknown,0x00058000,Not Loaded,7.0.2600.2180,6.1.8638.2180,5.1,7.10,5.1,4.0
,"c:\windows\system32\NTDLL.DLL",2009-02-09 05:20:34,2009-02-09 05:20:32,714752,A,0x000BBA39,0x000BBA39,x86,Console,"CV",0x7C900000,Unknown,0x000B2000,Not Loaded,5.1.2600.3520,5.1.2600.3520,5.1,7.10,5.1,4.10
